Date,Open,High,Low,Close,Adj Close,Volume
2012-10-18,394.04998779296875,400.95001220703125,394.04998779296875,396.75,293.3013916015625,95118
2012-10-19,399.95001220703125,402.0,396.5,400.3500061035156,295.9626770019531,59629
2012-10-22,403.0,405.0,397.1499938964844,403.70001220703125,298.439208984375,56549
2012-10-23,402.0,408.79998779296875,400.6499938964844,404.29998779296875,298.88275146484375,55780
2012-10-25,401.95001220703125,409.79998779296875,391.29998779296875,394.8500061035156,291.896728515625,226561
2012-10-29,388.04998779296875,388.04998779296875,378.0,382.6499938964844,282.87774658203125,151300
2012-10-30,381.95001220703125,387.04998779296875,380.1000061035156,382.75,282.95172119140625,64509
2012-10-31,380.25,388.6499938964844,380.20001220703125,387.04998779296875,286.1304931640625,34287
2012-11-01,394.95001220703125,394.95001220703125,386.8500061035156,388.1000061035156,286.90673828125,61299
2012-11-02,391.95001220703125,391.95001220703125,386.0,389.04998779296875,287.60906982421875,43040
2012-11-05,389.8999938964844,399.5,389.0,392.3500061035156,290.048583984375,68672
2012-11-06,393.1000061035156,396.95001220703125,391.8999938964844,393.04998779296875,290.5660400390625,62126
2012-11-07,393.54998779296875,399.75,392.6499938964844,395.6000061035156,292.4512023925781,49760
2012-11-08,387.70001220703125,401.0,387.70001220703125,399.20001220703125,295.112548828125,143302
2012-11-09,393.45001220703125,400.0,393.45001220703125,397.3500061035156,293.74493408203125,28189
2012-11-12,400.0,401.0,396.5,399.04998779296875,295.0015869140625,19876
2012-11-15,394.45001220703125,398.8500061035156,392.54998779296875,396.70001220703125,293.264404296875,40123
2012-11-16,396.1499938964844,399.0,394.5,397.1499938964844,293.5970153808594,45341
2012-11-19,397.0,400.0,397.0,398.70001220703125,294.74285888671875,23585
2012-11-20,382.8500061035156,403.0,382.8500061035156,400.0,295.70391845703125,44315
2012-11-21,395.0,405.0,373.8999938964844,396.45001220703125,293.07952880859375,270964
2012-11-22,396.70001220703125,398.70001220703125,393.0,395.1000061035156,292.0816345214844,75835
2012-11-23,395.25,397.79998779296875,393.25,395.20001220703125,292.15545654296875,19294
2012-11-26,395.54998779296875,401.0,395.54998779296875,400.6499938964844,296.1844787597656,43917
2012-11-27,402.70001220703125,404.0,398.3500061035156,400.0,295.70391845703125,98104
2012-11-29,401.8999938964844,402.0,381.1499938964844,384.70001220703125,284.3932800292969,138390
2012-11-30,384.1000061035156,390.5,382.6000061035156,388.1499938964844,286.9436950683594,35373
2012-12-03,390.0,411.8999938964844,390.0,402.54998779296875,297.58905029296875,707469
2012-12-04,404.0,410.0,387.04998779296875,388.95001220703125,287.53515625,294838
2012-12-05,390.04998779296875,392.0,385.1000061035156,388.3999938964844,287.1285400390625,109669
2012-12-06,391.6499938964844,403.70001220703125,391.6499938964844,398.45001220703125,294.55816650390625,452053
2012-12-07,399.95001220703125,401.8999938964844,390.25,391.3500061035156,289.3093566894531,109769
2012-12-10,389.95001220703125,389.95001220703125,381.0,383.0,283.1364440917969,126582
